"muni_code","top","top_noeta","top_vio","top_nonvio","top_asocprop"
"45188",1,1,0,1,0
"45202",2,2,2,0,0
"45205",1,1,1,0,0
"46005",3,3,0,3,2
"46011",3,3,1,2,2
"46013",2,2,0,2,0
"46017",1,1,0,1,1
"46019",1,1,0,1,1
"46020",1,1,0,1,0
"46021",3,3,0,3,3
"46022",1,1,0,1,1
"46029",1,1,0,1,0
"46032",3,3,0,3,2
"46042",1,1,0,1,1
"46044",1,1,0,1,1
"46054",2,2,1,1,1
"46072",2,2,0,2,2
"46077",4,4,0,4,4
"46078",5,5,0,5,0
"46085",2,2,1,1,1
"46102",6,6,0,6,6
"46105",2,2,2,0,0
"46107",1,1,0,1,0
"46110",5,5,0,5,4
"46122",9,9,6,3,3
"46130",1,1,1,0,0
"46131",3,3,0,3,2
"46135",1,1,0,1,1
"46145",6,6,1,5,3
"46159",1,1,0,1,0
"46161",1,1,1,0,0
"46163",1,1,0,1,0
"46164",1,1,0,1,0
"46165",1,1,0,1,1
"46166",5,5,0,5,4
"46169",4,4,0,4,2
"46184",3,3,0,3,3
"46190",1,1,0,1,1
"46194",4,4,0,4,3
"46205",1,1,0,1,0
"46213",2,2,1,1,1
"46215",1,1,0,1,1
"46216",1,1,0,1,0
"46220",20,20,2,18,18
"46238",1,1,0,1,1
"46244",4,4,0,4,0
"46250",180,180,40,140,94
"46251",1,1,0,1,0
"46254",2,2,0,2,0
"47027",1,1,0,1,0
"47085",1,1,0,1,0
"47186",65,65,4,61,45
"48001",5,3,0,5,3
"48002",6,6,1,5,2
"48003",14,12,1,13,11
"48004",1,1,0,1,1
"48011",5,3,0,5,4
"48012",1,1,0,1,0
"48013",64,52,3,61,46
"48015",47,32,3,44,26
"48016",4,1,0,4,4
"48017",17,9,1,16,9
"48020",309,227,22,287,205
"48021",2,2,0,2,1
"48024",2,2,0,2,2
"48025",2,2,1,1,1
"48026",1,0,0,1,1
"48027",21,13,1,20,18
"48029",1,1,0,1,0
"48032",6,4,0,6,2
"48034",3,3,0,3,2
"48036",5,3,0,5,4
"48037",3,1,0,3,3
"48044",57,38,3,54,42
"48045",1,1,0,1,1
"48046",35,23,8,27,22
"48050",1,1,0,1,1
"48052",2,2,0,2,2
"48054",9,6,0,9,8
"48056",1,1,0,1,1
"48057",10,8,0,10,10
"48058",1,1,0,1,0
"48060",1,0,0,1,1
"48064",1,1,0,1,1
"48065",3,2,2,1,1
"48067",6,6,2,4,4
"48068",4,4,0,4,2
"48069",1,1,0,1,1
"48071",5,5,0,5,3
"48072",3,1,0,3,2
"48073",48,31,3,45,31
"48077",2,1,1,1,1
"48078",32,28,1,31,24
"48080",17,15,1,16,11
"48082",35,26,3,32,23
"48083",11,11,0,11,8
"48084",49,38,2,47,37
"48086",2,1,0,2,2
"48090",14,7,0,14,13
"48092",1,1,0,1,1
"48094",5,3,0,5,4
"48097",1,1,0,1,1
"49021",1,1,1,0,0
"49086",1,1,1,0,0
"49247",1,1,1,0,0
"49275",6,6,1,5,4
"50008",1,1,0,1,0
"50025",1,1,1,0,0
"50038",1,1,0,1,1
"50060",1,1,0,1,1
"50074",2,2,0,2,1
"50081",1,1,1,0,0
"50095",2,2,0,2,1
"50099",1,1,1,0,0
"50171",1,1,1,0,0
"50205",1,1,0,1,1
"50227",1,1,0,1,1
"50231",1,1,0,1,0
"50269",1,1,0,1,1
"50272",2,2,0,2,1
"50297",159,159,14,145,107
"51001",10,10,1,9,3
"52001",7,7,0,7,1
